Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
systemd-network,192,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
polkitd,999,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
admindt,1000,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
nfsnobody,65534,/sbin/nologin,-1,-1,,NO,Partial,Regular,"OK"
jira,1003,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
sssd,998,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
splunk,1001,/bin/bash,-1,-1,,YES,Partial,Regular,"OK"
nrpe,996,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
systemd-coredump,995,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
systemd-resolve,193,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
chrony,994,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
unbound,993,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
sisips,1004,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
dcscaf,1006,/sbin/nologin,1,60,,NO,Partial,Regular,"OK"
monuser,1009,/bin/bash,1,90,,YES,Partial,Regular,"OK"
