Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/sbin/nologin,7,365,,YES,OK,Regular,"OK"
systemd-coredump,999,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
systemd-resolve,193,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
polkitd,998,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
unbound,997,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
sssd,996,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
chrony,995,/sbin/nologin,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
splunk,899,/bin/bash,7,365,,YES,OK,Service,"ServiceAccount_InteractiveShell"
saslauth,897,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
foreman-proxy,896,/bin/false,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
foreman,895,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
pulp,894,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
redis,893,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
puppet,892,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
monuser,1000,/bin/bash,1,90,,YES,OK,Regular,"OK"
