Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/sbin/nologin,0,99999,,NO,OK,Regular,"MinPwdAge_NOT_SET"
systemd-coredump,999,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
systemd-resolve,193,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
polkitd,998,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
unbound,997,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
sssd,996,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
chrony,995,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
pesign,994,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
splunk,899,/bin/bash,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
clevis,898,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
geoclue,897,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
cockpit-ws,896,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
cockpit-wsinstance,895,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
rtkit,172,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
pipewire,894,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
colord,893,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
libstoragemgmt,892,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
usbmuxd,113,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
dnsmasq,989,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
saslauth,891,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
gluster,890,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
qemu,107,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
pulse,171,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
flatpak,889,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
setroubleshoot,888,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
gnome-initial-setup,887,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
admindt,1000,/bin/bash,1,60,,YES,OK,Regular,"OK"
sisips,1003,/bin/bash,0,99999,,YES,OK,Regular,"MinPwdAge_NOT_SET"
dcscaf,1004,/sbin/nologin,1,60,,NO,OK,Regular,"OK"
splunkfwd,1006,/bin/bash,1,60,,YES,OK,Regular,"OK"
